,iter_id,drnet_PEHE,drnet_ATE_metric
0,0,0.1267543859649123,0.009210526315789475
1,1,0.12149122807017544,0.03464912280701754
2,2,0.13903508771929823,0.039912280701754385
3,3,0.1307017543859649,0.009649122807017544
4,4,0.11754385964912281,0.04298245614035087
5,5,0.12017543859649123,0.006140350877192981
6,6,0.11710526315789474,0.010964912280701754
7,7,0.156140350877193,0.06578947368421052
8,8,0.13991228070175438,0.05131578947368421
9,9,0.11754385964912281,0.03508771929824561
10,10,0.12192982456140351,0.03421052631578947
11,11,0.1412280701754386,0.04912280701754386
12,12,0.12412280701754386,0.008333333333333331
13,13,0.12105263157894737,0.03333333333333333
14,14,0.15482456140350878,0.0662280701754386
15,15,0.13421052631578947,0.03859649122807017
16,16,0.11008771929824561,0.005701754385964913
17,17,0.12368421052631579,0.02894736842105263
18,18,0.12938596491228072,0.023245614035087715
19,19,0.12938596491228072,0.05482456140350877
20,20,0.12236842105263158,0.05307017543859649
21,21,0.13289473684210526,0.007456140350877194
22,22,0.13596491228070176,0.02280701754385965
23,23,0.1324561403508772,0.02982456140350877
24,24,0.13991228070175438,0.05394736842105263
25,25,0.11666666666666667,0.0043859649122807015
26,26,0.12324561403508771,0.04868421052631579
27,27,0.1280701754385965,0.011403508771929825
28,28,0.12894736842105264,0.02631578947368421
29,29,0.13815789473684212,0.054824561403508776
30,30,0.1368421052631579,0.0587719298245614
31,31,0.12456140350877193,0.010526315789473684
32,32,0.11315789473684211,0.04473684210526316
33,33,0.1324561403508772,0.05789473684210526
34,34,0.11491228070175438,0.010526315789473684
35,35,0.11096491228070175,0.009210526315789473
36,36,0.13464912280701755,0.0030701754385964912
37,37,0.13421052631578947,0.05263157894736842
38,38,0.12192982456140351,0.02982456140350877
39,39,0.12982456140350876,0.05526315789473685
40,40,0.11096491228070175,0.02324561403508772
41,41,0.125,0.04429824561403509
42,42,0.13771929824561405,0.02280701754385965
43,43,0.13421052631578947,0.022807017543859647
44,44,0.1162280701754386,0.017982456140350878
45,45,0.11447368421052631,0.02675438596491228
46,46,0.13596491228070176,0.05526315789473685
47,47,0.11228070175438597,0.014912280701754387
48,48,0.13289473684210526,0.04956140350877193
49,49,0.1337719298245614,0.0039473684210526334
50,50,0.14210526315789473,0.06315789473684211
51,51,0.11885964912280701,0.039912280701754385
52,52,0.11710526315789474,0.02675438596491228
53,53,0.1267543859649123,0.03728070175438597
54,54,0.12587719298245614,0.039912280701754385
55,55,0.13114035087719297,0.017982456140350878
56,56,0.11403508771929824,0.011403508771929825
57,57,0.12631578947368421,0.02982456140350877
58,58,0.12324561403508771,0.021491228070175436
59,59,0.14298245614035088,0.04912280701754386
60,60,0.1368421052631579,0.06666666666666667
61,61,0.11140350877192982,0.005263157894736841
62,62,0.12587719298245614,0.008333333333333333
63,63,0.11491228070175438,0.013157894736842106
64,64,0.11710526315789474,0.02587719298245614
65,65,0.12938596491228072,0.05745614035087719
66,66,0.1267543859649123,0.02675438596491228
67,67,0.13333333333333333,0.06666666666666667
68,68,0.1442982456140351,0.060087719298245613
69,69,0.11447368421052631,0.025
70,70,0.12192982456140351,0.04035087719298246
71,71,0.1355263157894737,0.039912280701754385
72,72,0.14692982456140352,0.04780701754385965
73,73,0.1307017543859649,0.028070175438596492
74,74,0.1618421052631579,0.08026315789473684
75,75,0.125,0.029385964912280703
76,76,0.1206140350877193,0.02675438596491228
77,77,0.10789473684210527,0.014912280701754387
78,78,0.11578947368421053,0.02280701754385965
79,79,0.11096491228070175,0.005701754385964913
80,80,0.12938596491228072,0.047807017543859645
81,81,0.12105263157894737,0.0412280701754386
82,82,0.13201754385964912,0.05131578947368421
83,83,0.1267543859649123,0.011842105263157897
84,84,0.11973684210526316,0.011842105263157895
85,85,0.12236842105263158,0.04517543859649123
86,86,0.12192982456140351,0.04473684210526316
87,87,0.13991228070175438,0.06184210526315789
88,88,0.1280701754385965,0.050877192982456146
89,89,0.12149122807017544,0.03640350877192983
90,90,0.125,0.035526315789473684
91,91,0.13114035087719297,0.04868421052631579
92,92,0.11754385964912281,0.027192982456140352
93,93,0.12763157894736843,0.025
94,94,0.14956140350877192,0.06885964912280701
95,95,0.11798245614035088,0.0162280701754386
96,96,0.1324561403508772,0.011403508771929822
97,97,0.13903508771929823,0.006578947368421052
98,98,0.12587719298245614,0.029385964912280703
99,99,0.12456140350877193,0.02456140350877193
