,iter_id,drnet_PEHE_out,drnet_ATE_metric_out,drnet_PEHE_in,drnet_ATE_metric_in
0,0,1.4124901782812522,0.7661709076216123,1.5279730063033454,0.6417384425840229
1,1,1.5119543490405245,0.5762874302133634,1.4355965451834074,0.4208205174029076
2,2,1.3741518746658943,0.6580325200752917,1.4887110435579287,0.512409467877923
3,3,1.3107392473984054,0.4337674500353468,1.4528529720667787,0.4119254960170107
4,4,1.4099274375234017,0.14881589347630975,1.473403124898977,0.5192656379744172
5,5,1.4608607199613526,0.4289620696899079,1.4745649187562202,0.544365471581806
6,6,1.4604479591038866,0.4710000411907127,1.448165951566855,0.42990638469769893
7,7,1.515315609290301,0.4903036403001475,1.4933824763716044,0.5893087868255051
8,8,1.5830338864589675,0.6235486527936929,1.4717438082590295,0.5332818873777057
9,9,1.5548645862662218,0.5674696630944287,1.456930274924943,0.47627511399346023
