,iter_id,drnet_PEHE_out,drnet_ATE_metric_out,drnet_PEHE_in,drnet_ATE_metric_in
0,0,0.31971909163852713,0.008620578129040568,0.3197424500186261,0.005356952081548801
1,1,0.3139874186599224,0.003991599652197277,0.3205891577787811,0.004169166711845286
2,2,0.33147336171209935,0.0377215362840185,0.322499899352451,0.03865100616148036
3,3,0.31750925152339665,0.018733442716071743,0.32208486019373683,0.02940892957073326
4,4,0.3002716625970329,0.04707084882579613,0.32919520063994506,0.04583847464548359
5,5,0.32121854721300525,0.010989781902089976,0.3194382984860584,0.01188272031824709
6,6,0.33613394747373804,0.04281164730588595,0.3197380293429091,0.03591504518775956
7,7,0.31651968565693916,0.015652634234478074,0.3208795120250105,0.012011999877071694
8,8,0.30261713786254546,0.008230677370406817,0.3246200185152945,0.0029899145872740625
9,9,0.3141542602502726,0.029296980558061285,0.3242961869452161,0.023695649916976036
10,10,0.32621717098939396,0.016335214241489506,0.31922612248839727,0.01828459584554494
11,11,0.33268750287811566,0.0414498617382426,0.3190215895799974,0.037116197669845925
12,12,0.3076799354409017,0.01319396020681189,0.3223687894816549,0.006624341852097006
13,13,0.33376185179248946,0.013086921659608682,0.3191684296025141,0.019119618060230686
14,14,0.31646610144257054,0.03383150416704123,0.3240593394411279,0.03842914539160566
15,15,0.30598928264876396,0.05223273710723509,0.33190945259239146,0.0576259038603064
16,16,0.3370475196223332,0.07521877471406602,0.3243957730962583,0.06730324263713044
17,17,0.3307763798257125,0.01637567540696054,0.3163704608013245,0.00916824603347075
18,18,0.3252426577282216,0.035246348631029066,0.32454718575835473,0.037175145343338184
19,19,0.3354678275398475,0.006648644267401676,0.31630237130122274,0.0032432824720448825
20,20,0.3323117442313666,0.05010143365188126,0.31999846489321154,0.04230201106167218
21,21,0.3281048507095902,0.032835729279669754,0.3186658546214356,0.024277209584078377
22,22,0.3299437254287478,0.02054132977418863,0.31912000352271885,0.022873159881942627
23,23,0.33247744857698663,0.018351476613366814,0.3176705555212816,0.016903926788322757
24,24,0.3188847314900744,0.007889769911733376,0.31933216608667747,0.0033061134267451334
25,25,0.32374354725937127,0.018554647822390528,0.32146232478708536,0.022126722279445905
26,26,0.336644436906091,0.023792518822378234,0.3179032735354133,0.02097403220750653
27,27,0.31452406721114445,0.02019454149627372,0.32306734608167903,0.023040560665213615
28,28,0.3215090909944866,0.022774616262891834,0.32012687002223816,0.017724715598058282
29,29,0.3154862707218116,0.030990812816379363,0.3223628827693188,0.030940168130358582
30,30,0.33350695579834955,0.04358414944359346,0.318261293301403,0.03261806991833605
31,31,0.3162459963057415,0.028596468310672463,0.3233702098929709,0.026732480409555136
32,32,0.32158044560044424,0.01167755120580918,0.32026780277846667,0.013679035681120135
33,33,0.32008224375428296,0.003778467360034324,0.31960923980791445,0.000948756963439417
34,34,0.30990217849081186,0.004910363449731416,0.32172636236022567,0.0003211160745929219
35,35,0.3007716996158412,0.014322141605314979,0.32565164150776765,0.025262643433617133
36,36,0.32553196621059227,0.03425255989361751,0.32198458065604835,0.03576047118638822
37,37,0.31187134325438076,0.00038473418047815094,0.32124232030695066,0.006642898585108158
38,38,0.3396515254177031,0.01086190812322393,0.31450241614023094,0.006901848821067496
39,39,0.32499310168740403,0.005413123561690251,0.31784312180889596,0.01212466011158795
40,40,0.351875343203087,0.048149757471197006,0.31370028821644474,0.029479133377358187
41,41,0.3203629686148804,0.0009150436393132334,0.31943114008713464,0.00510651408735532
42,42,0.32739161169616265,0.016366985745793372,0.3187575868782611,0.013586898028376725
43,43,0.31824232007823094,0.0006086482127246121,0.319659806458345,0.0008353970303575965
44,44,0.335439324521211,0.005164928971217913,0.3158902986332121,0.009762364919624178
45,45,0.32307680467651595,0.013458569328251638,0.3186430868126662,0.009425056800899799
46,46,0.3310169003708875,0.02102131168112943,0.3183711688452541,0.012748441683422578
47,47,0.3331420562567164,0.005477548259914967,0.3165841327394835,0.006223003743951648
48,48,0.3011639416465956,0.010245335368406877,0.3239697615977242,0.015023181979185004
49,49,0.3176605234379134,0.029161547885782884,0.322039462646604,0.026657464561101636
50,50,0.31516483988598243,0.022733704979417093,0.3238284954467009,0.03503936480918671
51,51,0.3203589132578575,0.0003721624629147227,0.31879448624666656,0.00022310451155103592
52,52,0.3313328290281635,0.037357899518846945,0.3185997574658603,0.028983830286827134
53,53,0.32866367442370226,0.011459867429118928,0.3167951205288311,0.004697877915347355
54,54,0.3177732871369063,0.009964603500996243,0.3215878560075619,0.017753762010231683
55,55,0.32279396849327696,0.04369763752216833,0.3231899306986757,0.046045570043855136
56,56,0.32946946837278873,0.028881652975095467,0.3193496552924011,0.012859491032973062
57,57,0.32077989355469333,0.02223561437179645,0.3188854707182932,0.009092942464345118
58,58,0.33428909887793584,0.048800359728435674,0.32584882934792464,0.04772751931337999
59,59,0.30994465592598375,0.03718671303307801,0.3242650270083297,0.025040698323088386
60,60,0.33171535879318176,0.013390955603436418,0.3163851746496402,0.005147485823877024
61,61,0.3100479067085273,0.011431114050445328,0.3216599756647259,0.003186062408464127
62,62,0.3171178410421173,0.004150960117317083,0.32066221620025326,0.013538500753215006
63,63,0.3185362118627968,0.007554335018064369,0.323405783314106,0.010779110195621716
64,64,0.32339706016265485,0.04360461823576898,0.32316698195196125,0.04243380945469988
65,65,0.31892463244740576,0.01167142117363319,0.31944735693591747,0.006454017425053998
66,66,0.3242311952089507,0.011225898085129365,0.3186993026707668,0.012048332172184529
67,67,0.32051128810423496,0.002122229063197187,0.3200109152779135,0.0007546026177965744
